datetime,co,no2,o3,pm10,so2
2020-04-20 20:00:00,220.0,12.6,67.0,18.5,0.465
2020-04-20 22:00:00,228.0,19.5,55.5,23.0,0.454
2020-04-21 00:00:00,194.0,13.1,56.8,16.5,0.229
2020-04-21 03:00:00,166.0,31.5,32.2,2.99,1.08
2020-04-21 04:00:00,162.0,21.7,38.9,6.49,0.563
2020-04-21 05:00:00,164.0,21.9,38.8,4.99,0.407
2020-04-21 06:00:00,181.0,44.6,17.2,4.99,1.07
2020-04-21 07:00:00,181.0,54.9,11.8,9.98,1.61
2020-04-21 09:00:00,194.0,36.8,34.2,42.9,1.79
2020-04-21 10:00:00,196.0,33.2,37.5,48.4,2.27
2020-04-21 11:00:00,197.0,29.4,41.9,45.4,1.98
2020-04-21 12:00:00,205.0,26.5,48.9,45.9,1.74
2020-04-21 13:00:00,204.0,25.9,53.4,46.4,1.61
2020-04-21 14:00:00,209.0,26.7,58.3,41.4,1.46
2020-04-21 15:00:00,197.0,19.6,71.4,37.4,1.17
2020-04-21 16:00:00,197.0,15.4,81.0,30.4,0.815
2020-04-21 17:00:00,190.0,11.7,84.9,25.9,0.899
2020-04-21 18:00:00,173.0,9.31,81.4,25.4,0.448
2020-04-21 21:00:00,216.0,14.6,73.5,14.5,0.456
2020-04-21 22:00:00,225.0,21.3,63.5,18.5,0.387
2020-04-21 23:00:00,279.0,34.2,44.8,31.9,0.459
2020-04-22 01:00:00,271.0,32.4,34.2,46.4,0.428
2020-04-22 02:00:00,272.0,33.8,26.6,42.4,0.538
2020-04-22 03:00:00,275.0,38.9,17.9,38.4,0.473
2020-04-22 04:00:00,232.0,48.0,10.5,31.9,0.341
2020-04-22 05:00:00,230.0,32.1,16.8,32.9,0.211
2020-04-22 06:00:00,236.0,37.8,29.7,32.4,0.314
2020-04-22 07:00:00,203.0,25.9,44.6,24.0,0.705
2020-04-22 08:00:00,212.0,20.5,57.4,34.4,0.963
2020-04-22 09:00:00,213.0,18.0,61.3,44.4,1.12
2020-04-22 10:00:00,194.0,12.1,69.3,35.4,1.53
2020-04-22 11:00:00,182.0,10.9,74.6,40.4,2.31
2020-04-22 12:00:00,203.0,30.0,50.3,52.4,2.31
2020-04-22 13:00:00,200.0,26.4,59.3,42.4,1.48
2020-04-22 14:00:00,206.0,16.0,77.6,34.4,0.693
2020-04-22 15:00:00,198.0,14.6,82.3,30.9,0.789
2020-04-22 17:00:00,214.0,25.8,75.1,30.4,0.828
2020-04-22 18:00:00,213.0,37.6,62.8,29.4,1.69
2020-04-22 19:00:00,219.0,38.6,62.5,32.9,1.47
2020-04-22 20:00:00,225.0,29.4,73.1,35.9,0.699
2020-04-22 21:00:00,276.0,32.5,64.3,33.9,0.717
2020-04-22 22:00:00,217.0,19.8,77.6,28.4,0.804
2020-04-22 23:00:00,207.0,11.7,82.1,19.5,0.665
2020-04-23 00:00:00,195.0,11.9,76.1,23.5,0.97
2020-04-23 01:00:00,171.0,8.25,76.4,17.5,0.56
2020-04-23 02:00:00,178.0,8.11,71.3,3.49,0.334
2020-04-23 03:00:00,168.0,4.75,75.3,2.0,0.261
2020-04-23 04:00:00,181.0,4.97,73.5,4.49,0.352
2020-04-23 05:00:00,198.0,11.7,64.0,17.5,1.25
2020-04-23 06:00:00,178.0,17.0,57.7,17.5,0.605
2020-04-23 07:00:00,188.0,31.8,42.2,7.49,0.717
2020-04-23 08:00:00,197.0,24.6,52.0,21.0,0.959
2020-04-23 09:00:00,211.0,28.2,49.5,56.4,1.13
2020-04-23 10:00:00,213.0,33.2,45.4,65.9,1.27
2020-04-23 11:00:00,233.0,34.4,44.9,58.9,1.53
2020-04-23 12:00:00,237.0,27.6,53.5,67.9,1.32
2020-04-23 13:00:00,194.0,15.5,70.3,59.4,1.02
2020-04-23 15:00:00,190.0,11.1,83.6,38.9,0.576
2020-04-23 16:00:00,169.0,7.54,88.4,25.4,0.519
2020-04-23 17:00:00,173.0,10.7,85.6,22.5,0.375
2020-04-23 18:00:00,169.0,8.57,86.3,22.5,0.284
2020-04-23 19:00:00,179.0,8.35,86.7,18.0,0.417
2020-04-23 21:00:00,194.0,10.4,86.8,16.5,0.438
2020-04-23 22:00:00,191.0,10.5,83.3,16.5,0.315
2020-04-23 23:00:00,206.0,12.4,77.4,16.0,0.382
2020-04-24 00:00:00,247.0,22.3,58.6,19.0,0.401
2020-04-24 01:00:00,236.0,22.4,50.7,25.0,0.233
2020-04-24 02:00:00,238.0,19.2,51.3,22.5,0.459
2020-04-24 03:00:00,190.0,14.5,55.2,14.5,0.356
2020-04-24 04:00:00,175.0,10.7,61.3,10.5,0.254
2020-04-24 05:00:00,152.0,8.7,74.2,9.98,0.336
2020-04-24 06:00:00,156.0,6.13,79.2,14.5,0.383
2020-04-24 07:00:00,154.0,9.0,76.3,22.5,0.291
2020-04-24 08:00:00,159.0,10.9,71.9,27.9,0.349
2020-04-24 09:00:00,165.0,9.42,74.5,37.9,0.237
2020-04-24 10:00:00,160.0,10.9,73.9,37.4,0.334
2020-04-24 11:00:00,163.0,11.1,73.4,27.4,0.657
2020-04-24 12:00:00,175.0,11.1,76.7,26.9,0.657
2020-04-25 20:00:00,177.0,3.11,87.4,19.0,0.0521
2020-04-25 22:00:00,187.0,6.44,78.2,7.98,0.104
2020-04-25 23:00:00,212.0,8.35,73.7,7.49,0.043
2020-04-26 00:00:00,178.0,3.94,79.7,10.5,0.306
2020-04-26 01:00:00,163.0,1.3,81.3,10.5,0.117
2020-04-26 02:00:00,165.0,2.11,79.3,8.98,0.149
2020-04-26 03:00:00,166.0,0.969,80.3,7.98,0.358
2020-04-26 04:00:00,158.0,1.79,77.0,5.49,0.228
2020-04-26 05:00:00,164.0,2.99,73.0,5.49,0.521
2020-04-26 06:00:00,170.0,4.12,70.6,7.49,0.418
2020-04-26 07:00:00,184.0,7.95,65.2,7.49,0.62
2020-04-26 10:00:00,179.0,8.24,75.5,8.48,0.657
2020-04-26 11:00:00,208.0,19.6,63.9,12.0,1.05
2020-04-26 12:00:00,192.0,11.1,75.3,15.5,0.809
2020-04-26 13:00:00,184.0,6.61,80.5,15.0,0.544
2020-04-26 14:00:00,185.0,7.61,80.7,14.5,0.387
2020-04-26 18:00:00,172.0,6.63,85.3,9.98,0.322
2020-04-26 19:00:00,173.0,8.0,84.5,12.0,0.323
2020-04-26 20:00:00,188.0,11.7,80.6,10.5,0.377
2020-04-26 21:00:00,181.0,7.25,84.7,8.48,0.182
2020-04-26 22:00:00,175.0,12.4,75.7,11.5,0.344
2020-04-27 00:00:00,168.0,12.3,69.3,15.0,0.328
2020-04-27 01:00:00,178.0,9.48,70.1,11.5,0.323
2020-04-27 02:00:00,182.0,7.67,71.0,8.98,0.461
2020-04-27 05:00:00,170.0,5.43,67.3,6.49,0.61
2020-04-27 06:00:00,174.0,14.2,55.6,7.49,0.739
2020-04-27 07:00:00,201.0,33.0,33.8,6.99,1.43
2020-04-27 08:00:00,212.0,26.0,39.8,14.5,2.33
2020-04-27 09:00:00,208.0,18.0,47.5,29.9,1.52
2020-04-27 10:00:00,202.0,16.9,47.3,37.9,1.19
2020-04-27 12:00:00,190.0,13.4,54.5,23.5,0.882
2020-04-27 13:00:00,193.0,12.2,57.1,22.5,0.835
2020-04-27 14:00:00,196.0,9.87,62.1,28.4,0.593
2020-04-27 16:00:00,179.0,9.63,67.8,15.0,0.624
2020-04-27 18:00:00,234.0,19.4,59.8,23.5,0.738
2020-04-27 19:00:00,199.0,12.9,64.9,23.0,0.641
2020-04-27 20:00:00,192.0,11.2,65.8,16.5,0.786
2020-04-27 21:00:00,197.0,10.5,64.8,14.0,0.58
2020-04-27 22:00:00,206.0,15.6,57.5,15.5,0.525
2020-04-27 23:00:00,230.0,16.4,54.2,15.5,0.457
2020-04-28 00:00:00,240.0,26.7,38.3,22.5,1.11
2020-04-28 01:00:00,264.0,35.6,23.0,27.4,0.673
2020-04-28 02:00:00,274.0,30.4,23.4,25.0,1.07
2020-04-28 03:00:00,216.0,16.0,43.3,18.0,0.892
2020-04-28 04:00:00,189.0,11.7,50.6,9.98,0.772
2020-04-28 05:00:00,168.0,3.35,64.0,8.48,0.497
2020-04-28 06:00:00,170.0,6.01,60.5,11.0,0.991
2020-04-28 08:00:00,192.0,17.2,47.3,19.5,0.932
2020-04-28 09:00:00,200.0,18.2,48.8,26.9,0.933
2020-04-28 11:00:00,181.0,9.82,66.7,25.4,0.777
2020-04-28 12:00:00,185.0,11.9,64.6,31.9,0.862
2020-04-28 13:00:00,191.0,11.5,64.7,21.0,0.559
2020-04-28 14:00:00,207.0,16.0,59.7,8.98,0.528
2020-04-28 15:00:00,225.0,20.0,53.9,9.98,0.67
2020-04-28 16:00:00,231.0,22.1,52.7,9.98,1.01
2020-04-28 17:00:00,236.0,19.5,58.7,9.48,0.914
2020-04-28 18:00:00,231.0,17.3,61.1,7.98,0.671
2020-04-28 19:00:00,219.0,16.2,62.8,6.99,0.696
2020-04-28 21:00:00,185.0,7.6,72.5,6.49,0.727
2020-04-28 22:00:00,181.0,6.38,73.7,4.99,0.933
2020-04-28 23:00:00,-1.0,-1.0,-1.0,5.99,-1.0
2020-04-29 00:00:00,164.0,11.6,65.8,6.49,0.697
2020-04-29 01:00:00,166.0,20.9,51.4,4.49,0.858
2020-04-29 02:00:00,164.0,24.7,44.7,4.49,1.42
2020-04-29 03:00:00,163.0,21.4,44.5,7.49,1.01
2020-04-29 04:00:00,165.0,21.9,41.3,7.98,0.77
2020-04-29 05:00:00,172.0,26.5,36.6,4.99,0.851
2020-04-29 06:00:00,166.0,22.7,40.9,4.49,0.905
2020-04-29 07:00:00,176.0,31.1,34.5,7.49,0.916
2020-04-29 08:00:00,181.0,28.4,42.4,8.98,0.835
2020-04-29 09:00:00,192.0,36.4,36.4,9.48,0.996
2020-04-29 10:00:00,197.0,23.3,53.1,9.98,0.901
2020-04-29 18:00:00,221.0,17.2,60.4,25.4,0.747
2020-04-29 20:00:00,205.0,19.7,56.3,23.0,0.693
2020-04-29 21:00:00,184.0,22.6,50.0,19.5,0.579
2020-04-29 22:00:00,196.0,21.3,50.5,14.5,0.756
2020-04-29 23:00:00,221.0,27.3,39.1,15.0,0.846
2020-04-30 00:00:00,218.0,17.0,47.2,13.0,0.618
2020-04-30 01:00:00,225.0,18.7,41.3,11.5,0.697
2020-04-30 03:00:00,222.0,17.8,24.4,14.5,1.01
2020-04-30 04:00:00,205.0,16.6,28.1,15.0,0.679
2020-04-30 05:00:00,228.0,17.5,33.1,11.0,0.36
2020-04-30 06:00:00,217.0,22.5,24.8,14.0,0.709
2020-04-30 07:00:00,233.0,27.1,26.0,27.4,1.07
2020-04-30 08:00:00,228.0,25.7,39.1,37.9,0.927
2020-04-30 09:00:00,207.0,18.0,50.2,33.4,0.721
2020-04-30 10:00:00,186.0,10.3,59.2,23.5,0.782
2020-04-30 11:00:00,205.0,12.8,56.9,21.0,0.708
2020-04-30 12:00:00,209.0,18.0,52.4,25.4,1.03
2020-04-30 13:00:00,204.0,14.1,59.1,24.0,0.738
2020-04-30 14:00:00,203.0,14.4,60.3,21.5,0.872
2020-04-30 15:00:00,197.0,14.1,62.0,23.5,0.703
2020-04-30 16:00:00,204.0,12.8,64.4,22.5,0.657
2020-04-30 17:00:00,201.0,11.1,65.7,16.5,0.457
2020-04-30 18:00:00,215.0,12.5,63.0,12.5,0.55
2020-04-30 19:00:00,208.0,12.0,65.0,13.5,0.577
2020-04-30 20:00:00,212.0,11.0,66.2,15.0,0.478
2020-04-30 21:00:00,238.0,13.0,61.5,14.0,0.527
2020-04-30 22:00:00,232.0,16.0,52.9,14.5,0.442
2020-04-30 23:00:00,219.0,7.87,58.5,16.5,0.643
2020-05-01 00:00:00,224.0,6.09,56.8,17.0,0.897
2020-05-01 01:00:00,218.0,5.59,57.8,18.0,1.2
2020-05-01 02:00:00,192.0,2.54,61.1,12.0,0.674
2020-05-01 03:00:00,191.0,1.45,61.0,4.99,0.519
2020-05-01 04:00:00,181.0,1.67,59.0,5.49,0.562
2020-05-01 05:00:00,180.0,1.72,57.8,6.49,0.378
2020-05-01 06:00:00,179.0,3.19,56.1,7.49,0.374
2020-05-01 07:00:00,177.0,3.34,55.1,12.5,0.877
2020-05-01 08:00:00,177.0,1.79,58.5,14.5,0.497
2020-05-01 09:00:00,181.0,3.21,62.4,12.0,0.567
2020-05-01 10:00:00,181.0,5.08,63.5,17.0,0.467
2020-05-01 11:00:00,183.0,5.17,66.6,18.5,0.611
2020-05-01 12:00:00,183.0,4.73,73.3,16.0,0.847
2020-05-01 13:00:00,181.0,4.47,78.1,18.5,0.927
2020-05-01 14:00:00,177.0,4.05,81.9,17.5,0.76
2020-05-01 15:00:00,177.0,4.08,81.9,15.5,0.778
2020-05-01 16:00:00,174.0,2.62,84.1,12.0,0.641
2020-05-01 17:00:00,179.0,3.58,80.0,12.5,0.517
2020-05-01 18:00:00,189.0,6.28,75.0,15.5,0.644
2020-05-01 19:00:00,194.0,6.36,72.9,15.5,0.62
2020-05-01 20:00:00,194.0,6.68,71.8,18.5,0.549
2020-05-01 21:00:00,192.0,5.33,72.3,19.0,0.615
2020-05-01 22:00:00,186.0,5.12,71.2,14.0,0.689
2020-05-01 23:00:00,175.0,2.45,75.0,13.0,0.39
2020-05-02 00:00:00,167.0,1.63,75.2,14.0,0.501
2020-05-02 01:00:00,171.0,1.47,74.0,11.0,0.409
2020-05-02 02:00:00,174.0,1.27,72.4,8.98,0.534
2020-05-02 03:00:00,171.0,0.952,70.8,8.98,1.12
2020-05-02 04:00:00,165.0,0.862,68.6,9.48,0.791
2020-05-02 05:00:00,171.0,1.14,66.6,7.98,0.573
2020-05-02 07:00:00,172.0,2.04,64.8,11.5,0.636
2020-05-02 08:00:00,180.0,2.44,66.9,14.5,0.609
2020-05-02 09:00:00,179.0,2.69,71.4,16.0,1.5
2020-05-02 10:00:00,177.0,3.36,78.7,15.5,1.09
2020-05-02 11:00:00,186.0,5.32,80.8,21.5,0.749
2020-05-02 12:00:00,188.0,4.85,84.9,22.5,0.778
2020-05-02 13:00:00,187.0,5.05,88.1,22.0,0.795
2020-05-02 14:00:00,189.0,-1.0,84.8,20.0,0.906
2020-05-02 15:00:00,191.0,9.17,83.5,13.0,0.981
2020-05-02 16:00:00,189.0,5.76,88.8,16.0,0.845
2020-05-02 17:00:00,234.0,15.6,68.1,17.0,0.585
2020-05-02 18:00:00,310.0,37.1,41.6,16.5,0.714
2020-05-02 19:00:00,406.0,65.7,14.2,22.0,1.01
2020-05-02 21:00:00,219.0,9.41,61.2,13.5,0.603
2020-05-02 22:00:00,297.0,14.3,46.7,12.0,0.514
2020-05-03 01:00:00,211.0,6.27,61.3,18.5,1.13
2020-05-03 02:00:00,184.0,7.08,65.6,18.0,0.687
2020-05-03 04:00:00,178.0,6.51,66.7,14.5,0.388
2020-05-03 05:00:00,172.0,6.75,66.2,9.98,0.424
2020-05-03 06:00:00,159.0,2.55,82.0,7.98,0.338
2020-05-03 07:00:00,167.0,3.2,80.0,6.49,0.331
2020-05-03 08:00:00,162.0,3.68,76.1,4.49,0.388
2020-05-03 09:00:00,161.0,4.18,73.8,2.99,0.371
2020-05-03 10:00:00,165.0,4.15,72.7,5.49,0.326
2020-05-03 11:00:00,169.0,3.46,74.5,8.98,0.59
2020-05-03 12:00:00,168.0,3.24,77.2,9.48,0.377
2020-05-03 21:00:00,298.0,45.2,32.0,21.0,0.992
2020-05-04 00:00:00,189.0,6.49,57.0,14.0,0.911
2020-05-04 01:00:00,169.0,3.33,66.0,8.48,0.662
2020-05-04 02:00:00,166.0,4.28,67.7,8.98,0.508
2020-05-04 03:00:00,163.0,3.83,70.2,9.48,0.59
2020-05-04 05:00:00,160.0,3.0,66.5,8.98,0.592
2020-05-04 06:00:00,162.0,5.07,70.1,7.49,0.576
2020-05-04 07:00:00,176.0,12.1,66.8,5.99,0.421
2020-05-04 09:00:00,209.0,17.0,59.4,13.5,0.615
2020-05-04 12:00:00,189.0,17.2,63.5,24.0,0.504
2020-05-04 13:00:00,195.0,13.0,66.5,30.4,0.368
2020-05-04 14:00:00,187.0,13.9,65.5,25.0,0.448
2020-05-04 15:00:00,208.0,23.3,56.0,27.9,0.614
2020-05-04 16:00:00,273.0,38.6,39.0,43.9,0.688
2020-05-04 17:00:00,261.0,34.9,42.9,51.9,0.936
2020-05-04 19:00:00,228.0,34.2,43.8,34.4,0.74
2020-05-04 20:00:00,225.0,43.8,30.7,25.9,0.981
2020-05-04 21:00:00,229.0,23.2,49.6,22.0,0.723
2020-05-04 22:00:00,320.0,29.0,42.5,18.5,0.546
2020-05-04 23:00:00,276.0,30.8,38.1,23.0,0.465
2020-05-05 00:00:00,193.0,14.5,56.3,22.0,0.478
2020-05-05 01:00:00,221.0,14.4,50.4,14.0,0.554
2020-05-05 02:00:00,248.0,21.5,41.0,23.0,1.25
2020-05-05 03:00:00,184.0,14.3,45.0,22.5,0.855
2020-05-05 04:00:00,200.0,8.31,51.6,12.5,0.545
2020-05-05 05:00:00,213.0,16.5,40.8,11.5,0.614
2020-05-05 06:00:00,229.0,20.1,48.5,14.0,0.323
2020-05-05 07:00:00,188.0,36.5,31.4,16.0,0.731
2020-05-05 08:00:00,213.0,25.9,43.5,23.5,0.735
2020-05-05 09:00:00,205.0,23.7,49.8,32.4,0.882
2020-05-05 10:00:00,203.0,18.7,50.7,42.9,0.884
2020-05-05 11:00:00,212.0,18.6,52.4,44.4,0.979
2020-05-05 13:00:00,203.0,14.4,68.9,32.4,0.671
2020-05-05 14:00:00,193.0,18.0,67.3,30.4,0.615
2020-05-05 15:00:00,202.0,20.5,67.8,26.9,1.09
2020-05-05 16:00:00,197.0,25.2,67.7,23.0,1.19
2020-05-05 17:00:00,199.0,17.0,75.4,21.0,0.696
2020-05-05 18:00:00,204.0,14.1,74.4,19.5,0.51
2020-05-05 19:00:00,207.0,21.9,68.0,16.0,0.692
2020-05-05 20:00:00,218.0,29.0,59.2,14.5,0.886
2020-05-05 21:00:00,211.0,36.2,52.8,22.0,0.643
2020-05-05 22:00:00,191.0,37.7,51.0,22.5,0.534
2020-05-05 23:00:00,210.0,41.3,41.1,15.0,0.525
2020-05-06 00:00:00,222.0,34.6,43.8,17.0,0.55
2020-05-06 01:00:00,213.0,28.5,42.2,23.0,1.37
2020-05-06 02:00:00,193.0,19.2,47.5,16.5,0.786
2020-05-06 03:00:00,188.0,25.7,39.5,15.5,0.547
2020-05-06 04:00:00,164.0,12.6,55.0,14.5,0.498
2020-05-06 05:00:00,185.0,9.75,53.9,5.99,0.821
2020-05-06 06:00:00,195.0,14.8,48.0,7.49,0.819
2020-05-06 07:00:00,193.0,19.2,46.7,9.98,0.911
2020-05-06 08:00:00,228.0,22.4,47.3,22.0,1.03
2020-05-06 09:00:00,245.0,27.1,44.9,50.9,1.42
2020-05-06 10:00:00,191.0,16.3,58.8,53.9,1.83
2020-05-06 11:00:00,201.0,17.6,64.5,37.9,1.11
2020-05-06 12:00:00,187.0,15.0,70.0,30.4,1.02
2020-05-06 13:00:00,168.0,6.67,77.3,20.5,0.789
2020-05-06 14:00:00,162.0,5.59,81.1,24.0,0.6
2020-05-06 15:00:00,162.0,5.77,82.8,26.4,0.325
2020-05-06 16:00:00,162.0,4.93,81.3,22.0,0.409
2020-05-06 17:00:00,165.0,5.67,82.2,20.5,0.426
2020-05-06 18:00:00,167.0,6.2,87.8,15.5,0.515
2020-05-06 19:00:00,170.0,6.64,88.2,12.5,0.529
2020-05-06 21:00:00,168.0,7.05,77.8,12.0,0.48
2020-05-06 22:00:00,162.0,9.83,74.8,11.0,0.409
2020-05-06 23:00:00,-1.0,-1.0,-1.0,14.0,-1.0
2020-05-07 00:00:00,155.0,2.74,79.6,16.5,0.508
2020-05-08 01:00:00,160.0,3.87,66.9,7.98,0.527
2020-05-08 02:00:00,155.0,2.43,67.3,7.49,0.417
2020-05-08 03:00:00,151.0,1.63,67.4,6.49,0.553
2020-05-08 04:00:00,150.0,2.03,68.8,5.49,0.497
2020-05-08 07:00:00,163.0,10.4,57.2,3.99,0.381
2020-05-08 08:00:00,171.0,12.9,57.4,12.0,0.405
2020-05-08 09:00:00,181.0,12.2,60.6,20.0,0.455
2020-05-08 10:00:00,186.0,13.1,65.5,21.5,0.451
2020-05-08 12:00:00,161.0,4.73,77.0,13.0,0.262
2020-05-08 13:00:00,187.0,16.0,64.7,16.5,0.527
2020-05-08 14:00:00,189.0,20.6,60.6,21.0,0.821
2020-05-08 15:00:00,179.0,12.5,74.1,21.0,0.624
2020-05-08 16:00:00,161.0,6.71,82.2,19.0,0.323
2020-05-08 17:00:00,164.0,5.81,83.4,22.5,0.457
2020-05-08 18:00:00,167.0,7.88,80.0,24.0,0.365
2020-05-08 19:00:00,163.0,5.28,77.9,19.5,0.345
2020-05-08 20:00:00,166.0,5.44,77.6,15.5,0.502
2020-05-08 21:00:00,170.0,6.56,82.1,16.5,0.506
2020-05-08 22:00:00,176.0,7.02,83.3,20.5,0.493
2020-05-08 23:00:00,176.0,5.33,86.7,21.0,0.298
2020-05-09 00:00:00,170.0,3.71,86.6,20.0,0.297
2020-05-09 01:00:00,165.0,2.93,84.5,21.0,0.429
2020-05-09 02:00:00,159.0,2.77,80.3,19.0,0.948
2020-05-09 04:00:00,157.0,3.23,70.3,18.0,0.291
2020-05-09 06:00:00,150.0,3.12,70.9,18.0,0.42
2020-05-09 07:00:00,153.0,5.12,66.6,17.5,0.386
2020-05-09 08:00:00,156.0,4.34,69.1,16.5,0.351
2020-05-09 12:00:00,163.0,3.45,80.7,6.99,0.394
2020-05-09 13:00:00,160.0,3.81,78.1,7.49,0.42
2020-05-09 15:00:00,155.0,2.73,78.9,9.98,0.345
2020-05-09 16:00:00,158.0,3.05,79.1,10.5,0.385
2020-05-09 18:00:00,163.0,2.71,80.6,11.5,0.375
2020-05-09 19:00:00,169.0,4.07,79.0,10.5,0.164
2020-05-09 21:00:00,200.0,8.61,73.3,6.99,0.228
2020-05-09 22:00:00,212.0,9.1,70.9,6.99,0.182
2020-05-09 23:00:00,224.0,16.0,60.2,14.5,1.08
2020-05-10 00:00:00,229.0,19.0,50.2,21.5,0.493
2020-05-10 01:00:00,270.0,16.9,47.4,16.5,0.263
2020-05-10 02:00:00,290.0,15.8,44.6,16.5,0.149
2020-05-10 03:00:00,274.0,19.6,36.7,21.5,0.338
2020-05-10 04:00:00,261.0,12.2,32.0,19.0,0.242
2020-05-10 05:00:00,281.0,13.5,32.8,16.5,0.257
2020-05-10 06:00:00,211.0,10.0,53.3,15.5,0.665
2020-05-10 07:00:00,185.0,6.47,61.6,14.0,0.546
2020-05-10 08:00:00,167.0,4.24,67.5,17.0,2.79
2020-05-10 09:00:00,159.0,3.41,70.7,16.0,2.25
2020-05-10 10:00:00,155.0,2.41,81.2,9.98,1.03
2020-05-10 11:00:00,152.0,3.16,86.8,4.49,0.589
2020-05-10 12:00:00,153.0,2.6,90.9,2.0,0.3
2020-05-10 13:00:00,155.0,2.31,91.0,6.99,0.474
2020-05-10 16:00:00,156.0,2.46,93.4,13.5,0.279
2020-05-10 17:00:00,159.0,2.74,95.9,14.0,0.345
2020-05-10 18:00:00,155.0,2.95,97.1,16.0,0.344
2020-05-10 19:00:00,157.0,2.74,99.0,19.0,0.408
2020-05-10 20:00:00,161.0,4.43,96.1,18.5,0.371
2020-05-10 21:00:00,171.0,5.39,91.5,19.0,0.468
2020-05-10 22:00:00,161.0,4.23,90.3,21.0,0.506
2020-05-10 23:00:00,-1.0,-1.0,-1.0,20.5,-1.0
2020-05-11 00:00:00,157.0,1.63,93.1,19.5,0.585
2020-05-11 02:00:00,156.0,1.2,92.1,15.0,0.451
2020-05-11 03:00:00,155.0,1.93,87.1,14.0,0.326
2020-05-11 04:00:00,150.0,1.77,85.4,13.0,0.391
2020-05-11 05:00:00,150.0,1.11,86.2,10.5,0.332
2020-05-11 06:00:00,155.0,4.01,82.1,15.0,0.276
2020-05-11 07:00:00,162.0,7.26,76.3,21.5,0.465
2020-05-11 10:00:00,175.0,12.4,63.8,9.98,0.317
2020-05-11 11:00:00,191.0,15.1,67.5,4.99,1.1
2020-05-11 12:00:00,207.0,18.7,48.8,5.99,0.862
2020-05-11 13:00:00,205.0,18.5,52.8,5.49,0.683
2020-05-11 14:00:00,215.0,21.9,44.4,4.99,0.623
2020-05-11 15:00:00,195.0,19.3,52.1,5.49,0.517
2020-05-11 16:00:00,217.0,24.4,52.4,5.99,0.738
2020-05-11 17:00:00,219.0,24.6,49.9,6.49,0.723
2020-05-11 18:00:00,207.0,13.8,57.8,14.5,0.503
2020-05-11 19:00:00,190.0,10.1,56.7,17.0,0.278
2020-05-11 20:00:00,172.0,6.74,52.1,15.0,0.39
2020-05-11 22:00:00,165.0,5.63,54.3,6.49,0.471
2020-05-12 00:00:00,154.0,1.98,62.7,7.98,0.421
2020-05-12 01:00:00,153.0,1.38,61.8,5.99,0.515
2020-05-12 02:00:00,147.0,0.355,58.8,3.49,0.262
2020-05-12 03:00:00,147.0,0.752,55.6,2.0,0.237
2020-05-12 04:00:00,147.0,0.543,54.7,0.998,0.229
2020-05-12 05:00:00,156.0,2.26,50.2,2.99,0.403
2020-05-12 06:00:00,175.0,6.81,44.3,7.49,0.263
2020-05-12 07:00:00,170.0,9.23,43.7,11.0,0.464
2020-05-12 08:00:00,169.0,11.5,45.0,14.0,0.403
2020-05-12 10:00:00,159.0,5.5,54.0,11.5,0.381
2020-05-13 17:00:00,180.0,8.17,69.9,8.98,0.3
2020-05-13 19:00:00,235.0,11.2,65.6,6.49,0.549
2020-05-13 20:00:00,224.0,11.5,61.3,3.49,0.177
2020-05-13 22:00:00,172.0,9.02,70.2,2.99,0.431
2020-05-13 23:00:00,186.0,9.46,69.0,2.99,0.405
